,fechas,sst
1,1981-09-01,17.9
2,1981-09-02,17.9
3,1981-09-03,17.52
4,1981-09-04,17.95
5,1981-09-05,18.37
6,1981-09-06,18.42
7,1981-09-07,18.71
8,1981-09-08,18.93
9,1981-09-09,18.91
10,1981-09-10,18.46
11,1981-09-11,18.55
12,1981-09-12,18.52
13,1981-09-13,17.1
14,1981-09-14,16.95
15,1981-09-15,16.82
16,1981-09-16,17.55
17,1981-09-17,17.85
18,1981-09-18,18.14
19,1981-09-19,18.39
20,1981-09-20,18.38
21,1981-09-21,18.37
22,1981-09-22,18.4
23,1981-09-23,18.6
24,1981-09-24,18.61
25,1981-09-25,18.42
26,1981-09-26,18.29
27,1981-09-27,18.19
28,1981-09-28,18.34
29,1981-09-29,18.36
30,1981-09-30,19.04
31,1981-10-01,19.28
32,1981-10-02,19.21
33,1981-10-03,18.18
34,1981-10-04,17.68
35,1981-10-05,17.67
36,1981-10-06,17.65
37,1981-10-07,17.68
38,1981-10-08,17.71
39,1981-10-09,17.73
40,1981-10-10,17.67
41,1981-10-11,18.45
42,1981-10-12,18.71
43,1981-10-13,18.53
44,1981-10-14,17.89
45,1981-10-15,17.87
46,1981-10-16,17.89
47,1981-10-17,17.94
48,1981-10-18,18.42
49,1981-10-19,18.82
50,1981-10-20,18.99
51,1981-10-21,19.17
52,1981-10-22,19.17
53,1981-10-23,19.22
54,1981-10-24,19.09
55,1981-10-25,19.03
56,1981-10-26,19.01
57,1981-10-27,19
58,1981-10-28,19.52
59,1981-10-29,19.27
60,1981-10-30,18.56
61,1981-10-31,18.48
62,1981-11-01,18.61
63,1981-11-02,18.65
64,1981-11-03,18.63
65,1981-11-04,18.65
66,1981-11-05,18.06
67,1981-11-06,17.99
68,1981-11-07,18.08
69,1981-11-08,18.17
70,1981-11-09,18.19
71,1981-11-10,18.27
72,1981-11-11,18.27
73,1981-11-12,19.5
74,1981-11-13,19.46
75,1981-11-14,19.45
76,1981-11-15,19.85
77,1981-11-16,20
78,1981-11-17,19.81
79,1981-11-18,19.7
80,1981-11-19,19.72
81,1981-11-20,19.75
82,1981-11-21,19.79
83,1981-11-22,20.38
84,1981-11-23,20.49
85,1981-11-24,20.26
86,1981-11-25,19.67
87,1981-11-26,19.63
88,1981-11-27,19.7
89,1981-11-28,19.77
90,1981-11-29,19.84
91,1981-11-30,19.92
92,1981-12-01,19.98
93,1981-12-02,20.04
94,1981-12-03,20.05
95,1981-12-04,19.97
96,1981-12-05,19.95
