Transecto;Estaciones;Codigo;y;x;Profundidad;Temperatura;Conductividad;Sigma;Salinidad;Oxigeno_disuelto;Saturacion;Fluorescencia
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;1.5;15.4949;4.205755;24.9276;33.7865;6.9971;123.209;0.5133
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;1.75;15.495;4.205759;24.9275;33.7862;7.0033;123.316;0.5138
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;2;15.4963;4.205911;24.9286;33.7878;6.977;122.856;0.5145
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;2.25;15.4971;4.206009;24.9276;33.787;6.9781;122.879;0.4845
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;2.5;15.4976;4.206068;24.9272;33.7866;6.9837;122.978;0.489
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;2.75;15.4981;4.206139;24.9271;33.7868;6.9419;122.245;0.5219
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;3;15.4966;4.205969;24.9261;33.7853;6.9739;122.806;0.5309
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;3.25;15.4952;4.205848;24.9275;33.7864;6.9881;123.051;0.5589
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;3.5;15.4945;4.205779;24.9271;33.7858;6.9784;122.877;0.5437
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;3.75;15.4936;4.2057;24.9271;33.7857;6.9869;123.027;0.5522
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;4;15.4923;4.205584;24.9274;33.7856;6.9833;122.959;0.5785
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;4.25;15.4916;4.205548;24.9286;33.7868;6.9786;122.874;0.6177
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;4.5;15.4915;4.20555;24.9281;33.7863;7.0042;123.325;0.6311
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;4.75;15.4907;4.205478;24.9279;33.7857;7.0157;123.526;0.6381
10 millas;Nehuentué;MPAT1-10;-38.734974;-73.663954;5;15.4903;4.205468;24.9287;33.7866;7.0167;123.542;0.6415
