,fechas,sst
1,1981-09-01,26.27
2,1981-09-02,26.63
3,1981-09-03,26.92
4,1981-09-04,27.05
5,1981-09-05,27.09
6,1981-09-06,27.28
7,1981-09-07,27.07
8,1981-09-08,26.94
9,1981-09-09,26.55
10,1981-09-10,26.66
11,1981-09-11,26.71
12,1981-09-12,27.22
13,1981-09-13,27.29
14,1981-09-14,27.11
15,1981-09-15,27.13
16,1981-09-16,27.05
17,1981-09-17,27.04
18,1981-09-18,26.77
19,1981-09-19,26.91
20,1981-09-20,27.02
21,1981-09-21,27.16
22,1981-09-22,26.87
23,1981-09-23,26.68
24,1981-09-24,26.47
25,1981-09-25,26.56
26,1981-09-26,26.4
27,1981-09-27,26.57
28,1981-09-28,26.77
29,1981-09-29,26.79
30,1981-09-30,26.76
31,1981-10-01,26.43
32,1981-10-02,26.09
33,1981-10-03,25.93
34,1981-10-04,25.6
35,1981-10-05,25.68
36,1981-10-06,26.08
37,1981-10-07,26.45
38,1981-10-08,26.14
39,1981-10-09,24.98
40,1981-10-10,24.86
41,1981-10-11,24.53
42,1981-10-12,24.46
43,1981-10-13,24.16
44,1981-10-14,24.3
45,1981-10-15,25.11
46,1981-10-16,25.36
47,1981-10-17,25.17
48,1981-10-18,24.74
49,1981-10-19,24.35
50,1981-10-20,24.35
51,1981-10-21,24.06
52,1981-10-22,24.14
53,1981-10-23,24.65
54,1981-10-24,24.73
55,1981-10-25,24.34
56,1981-10-26,24.17
57,1981-10-27,23.9
58,1981-10-28,24.19
59,1981-10-29,25.08
60,1981-10-30,25.13
61,1981-10-31,24.63
62,1981-11-01,24.65
63,1981-11-02,24.65
64,1981-11-03,24.74
65,1981-11-04,25.66
66,1981-11-05,25.57
67,1981-11-06,25.12
68,1981-11-07,25.12
69,1981-11-08,24.95
70,1981-11-09,24.61
71,1981-11-10,24.66
72,1981-11-11,25.19
73,1981-11-12,24.87
74,1981-11-13,24.48
75,1981-11-14,24.64
76,1981-11-15,24.92
77,1981-11-16,25.1
78,1981-11-17,24.31
79,1981-11-18,24.27
80,1981-11-19,24.51
81,1981-11-20,23.97
82,1981-11-21,22.99
83,1981-11-22,22.13
84,1981-11-23,22.25
85,1981-11-24,22.1
86,1981-11-25,22.35
87,1981-11-26,22.38
88,1981-11-27,22.7
89,1981-11-28,22.52
90,1981-11-29,23.23
91,1981-11-30,23.17
92,1981-12-01,22.47
93,1981-12-02,22.02
94,1981-12-03,21.57
95,1981-12-04,21.45
96,1981-12-05,21.21
97,1981-12-06,21.62
98,1981-12-07,21.85
99,1981-12-08,21.52
100,1981-12-09,20.64
101,1981-12-10,20.26
102,1981-12-11,20.27
103,1981-12-12,20.79
104,1981-12-13,21.65
105,1981-12-14,22.56
106,1981-12-15,23.26
107,1981-12-16,22.99
108,1981-12-17,22.66
109,1981-12-18,22.67
110,1981-12-19,22.38
111,1981-12-20,21.56
112,1981-12-21,21.51
113,1981-12-22,21.13
114,1981-12-23,20.8
115,1981-12-24,20.54
116,1981-12-25,20.47
117,1981-12-26,20.39
118,1981-12-27,20.47
119,1981-12-28,20.64
120,1981-12-29,20.76
121,1981-12-30,20.68
122,1981-12-30,20.49
123,1982-01-01,20.01
124,1982-01-02,20.02
125,1982-01-03,20.14
126,1982-01-04,19.7
127,1982-01-05,18.94
128,1982-01-06,18.71
129,1982-01-07,18.98
130,1982-01-08,18.66
131,1982-01-09,18.92
132,1982-01-10,18.66
133,1982-01-11,18.27
134,1982-01-12,17.54
135,1982-01-13,17.24
136,1982-01-14,17.65
137,1982-01-15,18.07
138,1982-01-16,18.35
139,1982-01-17,19.06
140,1982-01-18,19.07
141,1982-01-19,18.82
142,1982-01-20,18.63
143,1982-01-21,18.3
144,1982-01-22,18.16
145,1982-01-23,18.37
146,1982-01-24,18.3
147,1982-01-25,18
148,1982-01-26,18.03
149,1982-01-27,17.74
150,1982-01-28,17.67
151,1982-01-29,17.22
152,1982-01-30,17.59
153,1982-01-31,17.44
