,fechas,sst
1,1981-09-01,10.77
2,1981-09-02,9.91
3,1981-09-03,9.82
4,1981-09-04,10.56
5,1981-09-05,10.77
6,1981-09-06,10.8
7,1981-09-07,10.53
8,1981-09-08,10.46
9,1981-09-09,10.31
10,1981-09-10,10.31
11,1981-09-11,9.78
12,1981-09-12,9.53
13,1981-09-13,9.89
14,1981-09-14,10
15,1981-09-15,9.88
16,1981-09-16,10.15
17,1981-09-17,10.23
18,1981-09-18,10
19,1981-09-19,9.77
20,1981-09-20,9.71
21,1981-09-21,9.5
22,1981-09-22,9.79
23,1981-09-23,9.75
24,1981-09-24,8.12
25,1981-09-25,8.09
26,1981-09-26,9.09
27,1981-09-27,9.45
28,1981-09-28,9.15
29,1981-09-29,9.34
30,1981-09-30,9.66
31,1981-10-01,9.79
32,1981-10-02,9.69
33,1981-10-03,9.67
34,1981-10-04,9.68
35,1981-10-05,10.36
36,1981-10-06,10.22
37,1981-10-07,9.94
38,1981-10-08,10.7
39,1981-10-09,10.95
40,1981-10-10,10.52
41,1981-10-11,10.44
42,1981-10-12,10.42
43,1981-10-13,11.24
44,1981-10-14,11.27
45,1981-10-15,11.18
46,1981-10-16,10.08
47,1981-10-17,9.98
48,1981-10-18,9.49
49,1981-10-19,9.78
50,1981-10-20,11.04
51,1981-10-21,10.18
52,1981-10-22,9.65
53,1981-10-23,9.66
54,1981-10-24,9.23
55,1981-10-25,10.99
56,1981-10-26,11.17
57,1981-10-27,11.24
58,1981-10-28,11.18
59,1981-10-29,11.17
60,1981-10-30,11.1
61,1981-10-31,11.11
62,1981-11-01,11.24
63,1981-11-02,11.3
64,1981-11-03,11.28
65,1981-11-04,11.21
66,1981-11-05,11.21
67,1981-11-06,11.57
68,1981-11-07,11.56
69,1981-11-08,11.65
70,1981-11-09,11.25
71,1981-11-10,11.17
72,1981-11-11,10.57
73,1981-11-12,10.53
74,1981-11-13,11.51
75,1981-11-14,12.03
76,1981-11-15,12.6
77,1981-11-16,12.53
78,1981-11-17,12.1
79,1981-11-18,11.98
80,1981-11-19,12.05
81,1981-11-20,11.95
82,1981-11-21,11.69
83,1981-11-22,12.41
84,1981-11-23,12.6
85,1981-11-24,12.57
86,1981-11-25,11.68
87,1981-11-26,10.66
88,1981-11-27,10.86
89,1981-11-28,11.77
90,1981-11-29,11.53
91,1981-11-30,11.52
92,1981-12-01,11.62
93,1981-12-02,12.23
94,1981-12-03,12.45
95,1981-12-04,12.4
96,1981-12-05,13.07
97,1981-12-06,13.29
