,fechas,sst
1,1981-09-01,14.52
2,1981-09-02,14.52
3,1981-09-03,12.63
4,1981-09-04,12.56
5,1981-09-05,12.69
6,1981-09-06,13.5
7,1981-09-07,15.22
8,1981-09-08,15.43
9,1981-09-09,14.9
10,1981-09-10,14.73
11,1981-09-11,13.89
12,1981-09-12,13.8
13,1981-09-13,13.59
14,1981-09-14,13.08
15,1981-09-15,12.79
16,1981-09-16,12.74
17,1981-09-17,13.09
18,1981-09-18,13.58
19,1981-09-19,13.54
20,1981-09-20,12.6
21,1981-09-21,12.68
22,1981-09-22,12.04
23,1981-09-23,12.03
24,1981-09-24,12.52
25,1981-09-25,12.9
26,1981-09-26,13.44
27,1981-09-27,13.55
28,1981-09-28,13.64
29,1981-09-29,13.64
30,1981-09-30,14.52
31,1981-10-01,14.78
32,1981-10-02,14.7
33,1981-10-03,13.56
34,1981-10-04,14.19
35,1981-10-05,14.42
36,1981-10-06,14.95
37,1981-10-07,15
38,1981-10-08,14.06
39,1981-10-09,12.92
40,1981-10-10,12.62
41,1981-10-11,12.09
42,1981-10-12,12
43,1981-10-13,12.24
44,1981-10-14,12.96
45,1981-10-15,12.93
46,1981-10-16,14.87
47,1981-10-17,14.71
48,1981-10-18,12.72
49,1981-10-19,12.37
50,1981-10-20,12.12
51,1981-10-21,13.51
52,1981-10-22,14.48
53,1981-10-23,14.76
54,1981-10-24,14.78
55,1981-10-25,15.93
56,1981-10-26,15.8
57,1981-10-27,15.01
58,1981-10-28,15.9
59,1981-10-29,15.26
60,1981-10-30,14.31
61,1981-10-31,14.32
62,1981-11-01,14.42
63,1981-11-02,14.63
64,1981-11-03,15.13
65,1981-11-04,14.8
66,1981-11-05,13.36
67,1981-11-06,12.55
68,1981-11-07,13.49
69,1981-11-08,14.87
70,1981-11-09,14.83
71,1981-11-10,14.91
72,1981-11-11,14.98
73,1981-11-12,13.53
74,1981-11-13,13.62
75,1981-11-14,13.66
76,1981-11-15,13.47
77,1981-11-16,13.78
78,1981-11-17,14.81
79,1981-11-18,14.59
80,1981-11-19,14.51
81,1981-11-20,14.28
82,1981-11-21,13.93
83,1981-11-22,14.29
84,1981-11-23,14.6
85,1981-11-24,14.05
86,1981-11-25,13.49
87,1981-11-26,13.2
88,1981-11-27,13.1
89,1981-11-28,13.76
90,1981-11-29,14.43
91,1981-11-30,14.38
92,1981-12-01,14.48
93,1981-12-02,14.6
94,1981-12-03,14.7
95,1981-12-04,15.42
96,1981-12-05,15.1
97,1981-12-06,15.15
98,1981-12-07,14.03
99,1981-12-08,12.94
100,1981-12-09,12.19
101,1981-12-10,12.05
102,1981-12-11,12.12
103,1981-12-12,12.34
104,1981-12-13,12.56
105,1981-12-14,12.8
106,1981-12-15,13.02
107,1981-12-16,13.82
108,1981-12-17,14.4
109,1981-12-18,15.12
110,1981-12-19,15.34
111,1981-12-20,15.47
112,1981-12-21,15.81
113,1981-12-22,15.57
114,1981-12-23,15.5
115,1981-12-24,15.55
116,1981-12-25,15.61
117,1981-12-26,15.67
118,1981-12-27,15.73
119,1981-12-28,15.62
120,1981-12-29,14.85
121,1981-12-30,16.3
122,1981-12-30,16.56
123,1982-01-01,16.54
124,1982-01-02,17.53
125,1982-01-03,17.15
126,1982-01-04,16.4
127,1982-01-05,16.38
128,1982-01-06,16.47
129,1982-01-07,16.48
130,1982-01-08,16.53
131,1982-01-09,16.55
132,1982-01-10,17.24
133,1982-01-11,17.54
134,1982-01-12,17.46
135,1982-01-13,16.42
136,1982-01-14,15.96
137,1982-01-15,17.48
138,1982-01-16,16.73
139,1982-01-17,15.58
140,1982-01-18,15.2
141,1982-01-19,15.53
142,1982-01-20,15.38
143,1982-01-21,15.23
144,1982-01-22,16.68
145,1982-01-23,16.75
146,1982-01-24,16.37
147,1982-01-25,15.75
148,1982-01-26,15.6
149,1982-01-27,15.88
150,1982-01-28,17.13
151,1982-01-29,16.98
152,1982-01-30,15.63
153,1982-01-31,15.32
154,1982-02-01,15.1
155,1982-02-02,17.16
156,1982-02-03,18.39
157,1982-02-04,18.46
158,1982-02-05,16.57
159,1982-02-06,16.21
160,1982-02-07,16.13
161,1982-02-08,17
162,1982-02-09,17.81
163,1982-02-10,17.73
164,1982-02-11,16.36
165,1982-02-12,16.09
166,1982-02-13,16.1
167,1982-02-14,16.52
168,1982-02-15,17.74
169,1982-02-16,17.96
170,1982-02-17,17.81
171,1982-02-18,17.64
172,1982-02-19,18.3
173,1982-02-20,18.06
174,1982-02-21,17.38
175,1982-02-22,17.08
176,1982-02-23,18.24
177,1982-02-24,18.14
178,1982-02-25,17.89
179,1982-02-26,17.72
180,1982-02-27,17.37
181,1982-02-28,17.89
182,1982-03-01,17.6
183,1982-03-02,17.5
184,1982-03-03,18.91
