,fechas,sst
1,1981-09-01,14.72
2,1981-09-02,14.62
3,1981-09-03,14.34
4,1981-09-04,14.59
5,1981-09-05,14.17
6,1981-09-06,14.42
7,1981-09-07,14.69
8,1981-09-08,14.68
9,1981-09-09,14.67
10,1981-09-10,14.85
11,1981-09-11,14.51
12,1981-09-12,14.26
13,1981-09-13,14.17
14,1981-09-14,14.21
15,1981-09-15,13.69
16,1981-09-16,12.65
17,1981-09-17,12.57
18,1981-09-18,12.36
19,1981-09-19,12.32
20,1981-09-20,12.37
21,1981-09-21,12.85
22,1981-09-22,13.73
23,1981-09-23,14.33
24,1981-09-24,14.59
25,1981-09-25,14.48
26,1981-09-26,14.75
27,1981-09-27,14.8
28,1981-09-28,14.4
29,1981-09-29,13.67
30,1981-09-30,14.29
31,1981-10-01,14.87
32,1981-10-02,14.66
33,1981-10-03,14.81
34,1981-10-04,15.01
35,1981-10-05,14.73
36,1981-10-06,14.55
37,1981-10-07,14.64
38,1981-10-08,14.85
39,1981-10-09,15.25
40,1981-10-10,15.12
41,1981-10-11,15.11
42,1981-10-12,15.15
43,1981-10-13,15.26
44,1981-10-14,15.26
45,1981-10-15,15.27
46,1981-10-16,14.83
47,1981-10-17,13.44
48,1981-10-18,13.09
49,1981-10-19,13.07
50,1981-10-20,13.99
51,1981-10-21,14.01
52,1981-10-22,14.02
53,1981-10-23,14.08
54,1981-10-24,13.41
55,1981-10-25,12.72
56,1981-10-26,12.86
57,1981-10-27,13.67
58,1981-10-28,14.08
59,1981-10-29,14.44
60,1981-10-30,14.65
61,1981-10-31,14.72
62,1981-11-01,14.65
63,1981-11-02,15.02
64,1981-11-03,15.01
65,1981-11-04,14.4
66,1981-11-05,14.63
67,1981-11-06,14.67
68,1981-11-07,14.88
69,1981-11-08,14.88
70,1981-11-09,14.87
71,1981-11-10,14.95
72,1981-11-11,15.43
73,1981-11-12,15.77
74,1981-11-13,15.64
75,1981-11-14,15.47
76,1981-11-15,15.54
77,1981-11-16,15.55
78,1981-11-17,15.53
79,1981-11-18,15.89
80,1981-11-19,15.8
81,1981-11-20,15.4
82,1981-11-21,15.35
83,1981-11-22,15.43
84,1981-11-23,15.23
85,1981-11-24,15.56
86,1981-11-25,15.6
87,1981-11-26,15.56
88,1981-11-27,15.16
89,1981-11-28,15.26
90,1981-11-29,15.35
91,1981-11-30,15.34
92,1981-12-01,15.69
93,1981-12-02,15.77
94,1981-12-03,15.72
95,1981-12-04,15.77
96,1981-12-05,16.85
97,1981-12-06,16.84
98,1981-12-07,16.71
99,1981-12-08,15.22
100,1981-12-09,15.46
101,1981-12-10,15.43
102,1981-12-11,14.87
103,1981-12-12,14.81
104,1981-12-13,16.86
105,1981-12-14,17.27
106,1981-12-15,17.71
107,1981-12-16,17.66
108,1981-12-17,17.69
109,1981-12-18,17.53
